,PLAYER,TEAM,AGE,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,HEIGHT,WEIGHT,POSITION,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST_RATIO,OREB%,DREB%,REB%,TO_RATIO,eFG%,TS%,USG%,PACE,PIE,POSS,PTS_OFF_TOV,2ND_PTS,FASTB_PTS,PAINT_PTS,OPP_PTS_OFF_TOV,OPP_2ND_PTS,OPP_FASTB_PTS,OPP_PAINT_PTS,FGA_BLOCKED,PF_DRAWN,%FGA_2PT,%FGA_3PT,%PTS_2PT,%PTS_MidRange,%PTS_3PT,%PTS_FASTB,%PTS_FT,%PTS_TO,%PTS_PAINT,2FGM_%AST,2FGM_%UAST,3FGM_%AST,3FGM_%UAST,FGM_%AST,FGM_%UAST,%TEAM_FGM,%TEAM_FGA,%TEAM_3PM,%TEAM_3PA,%TEAM_FTM,%TEAM_FTA,%TEAM_OREB,%TEAM_DREB,%TEAM_REB,%TEAM_AST,%TEAM_TOV,%TEAM_STL,%TEAM_BLK,%TEAM_PF,%TEAM_PFDRAWN,%TEAM_PTS,SCREEN_AST,SCREEN_AST_PTS,DEFLECTIONS,LOOSE_RECOVERED_OFF,LOOSE_RECOVERED_DEF,LOOSE_RECOVERED_TOTAL,%LOOSE_RECOVERED_OFF,%LOOSE_RECOVERED_DEF,CHARGES_DRAWN,CONTEST_2PT,CONTEST_3PT,CONTEST_SHOTS,<8FT_FGM,<8FT_FGA,<8FT_FG%,8-16_FGM,8-16_FGA,8-16_FG%,16-24_FGM,16-24_FGA,16-24_FG%,>=24FT_FGM,>=24FT_FGA,>=24FT_FG%
JoelEmbiid|2022,JoelEmbiid,PHI,28,68,30.6,9.8,19.6,49.9,1.4,3.7,37.1,9.6,11.8,81.4,2.1,9.6,11.7,4.2,3.1,1.1,1.5,2.7,46,2,213.36,280,C,115.6,107.8,7.9,23.6,1.33,13.0,6.8,27.3,17.6,9.8,53.4,61.6,37.5,96.96,21.2,4640,3.8,3.0,1.9,12.0,9.5,8.8,10.0,32.6,1.2,8.5,81.2,18.8,55.1,15.9,13.4,6.1,31.5,12.3,39.2,51.3,48.7,71.0,29.0,54.1,45.9,35.6,34.3,16.9,17.5,60.7,61.4,45.3,39.4,40.4,24.7,39.6,22.4,40.4,21.8,58.0,38.7,3.2,7.2,1.7,0.5,0.6,1.1,49.3,50.7,0.01,7.6,1.9,9.5,4.9,7.7,64.4,2.4,5.8,41.8,1.0,2.4,43.3,1.4,3.7,37.2
JoelEmbiid|2021,JoelEmbiid,PHI,27,51,28.5,9.0,17.6,51.3,1.1,3.0,37.7,9.2,10.7,85.9,2.2,8.4,10.6,2.8,3.1,1.0,1.4,2.4,31,0,213.36,280,C,117.8,105.8,12.0,15.6,0.91,10.0,7.8,25.4,17.2,11.0,54.5,63.6,35.2,100.79,20.3,3331,3.9,3.7,1.9,10.3,10.5,7.5,9.0,29.1,0.9,7.4,82.9,17.1,55.5,19.3,12.0,6.6,32.5,13.6,36.3,42.9,57.1,87.9,12.1,48.6,51.4,33.2,32.6,15.4,16.6,61.2,58.0,41.4,36.0,37.0,18.1,35.2,16.3,37.1,21.6,52.7,37.0,2.8,6.0,1.6,0.6,0.4,1.0,56.9,43.1,0.08,7.3,1.7,8.9,4.3,6.9,61.9,2.4,5.4,45.1,1.2,2.4,51.7,1.1,3.0,37.9
JoelEmbiid|2020,JoelEmbiid,PHI,26,51,23.0,7.5,15.7,47.7,1.1,3.4,33.1,6.9,8.5,80.7,2.8,8.9,11.6,3.0,3.1,0.9,1.3,3.4,37,0,213.36,280,C,107.2,102.0,5.2,17.8,0.96,11.7,9.1,27.9,18.7,12.2,51.2,59.0,31.5,102.07,19.4,3201,2.4,3.9,1.1,9.0,9.8,6.9,8.0,26.0,0.8,6.7,78.5,21.5,55.5,16.4,14.6,4.7,29.9,10.3,39.1,45.2,54.8,91.2,8.8,52.1,47.9,30.9,29.9,18.3,19.5,54.1,51.8,42.6,39.0,39.8,20.5,33.9,18.8,40.1,27.7,45.9,34.2,2.9,6.3,1.7,0.9,0.6,1.6,59.5,40.5,0.1,8.1,1.7,9.8,3.9,6.2,63.1,1.7,4.1,42.5,0.8,2.1,36.1,1.1,3.3,33.5
LeBronJames|2022,LeBronJames,LAL,37,56,30.3,11.4,21.8,52.4,2.9,8.0,35.9,4.5,6.0,75.6,1.1,7.1,8.2,6.2,3.5,1.3,1.1,2.2,21,6,205.74,250,SF,110.9,113.5,-2.5,29.7,1.78,18.4,3.1,18.5,10.9,10.4,59.0,61.9,31.7,100.92,18.0,4380,4.3,2.9,4.8,14.3,13.1,10.2,11.9,38.6,0.8,5.5,63.3,36.7,56.5,9.2,28.5,15.8,15.0,14.0,47.3,40.7,59.3,55.9,44.1,44.5,55.5,35.2,32.5,29.6,29.5,37.2,36.1,17.1,27.7,25.5,32.3,31.9,21.2,27.1,14.0,36.0,34.9,1.0,2.4,2.0,0.3,0.5,0.8,41.3,58.7,0.29,3.6,2.0,5.7,6.9,9.9,69.9,0.8,1.9,41.3,0.9,2.0,42.1,2.9,8.0,35.9
LeBronJames|2021,LeBronJames,LAL,36,45,25.0,9.4,18.3,51.3,2.3,6.3,36.5,4.0,5.7,69.8,0.6,7.0,7.7,7.8,3.7,1.1,0.6,1.6,18,5,205.74,250,SF,112.4,103.2,9.2,39.4,2.08,24.3,2.0,20.2,11.4,11.7,57.6,60.2,31.0,100.41,19.1,3145,4.0,2.0,4.5,11.7,10.8,8.0,8.8,32.2,0.6,4.6,65.4,34.6,56.5,9.8,27.7,18.0,15.8,16.0,46.7,32.7,67.3,51.9,48.1,37.4,62.6,32.2,30.8,28.3,28.0,32.6,34.9,10.1,28.6,24.8,44.0,36.8,20.9,13.4,12.1,30.8,31.9,0.6,1.3,2.0,0.4,0.5,0.9,45.0,55.0,0.2,2.2,2.0,4.2,5.4,7.5,71.1,1.0,2.4,41.1,0.7,2.0,35.9,2.3,6.3,36.5
LeBronJames|2020,LeBronJames,LAL,35,67,25.3,9.6,19.4,49.3,2.2,6.3,34.8,3.9,5.7,69.3,1.0,6.9,7.8,10.2,3.9,1.2,0.5,1.8,46,13,205.74,250,SF,112.1,103.6,8.5,47.7,2.62,28.5,2.8,19.1,11.0,10.9,55.0,57.7,30.8,101.5,19.8,4910,4.6,2.3,4.8,12.7,12.2,8.1,11.6,32.1,0.9,5.1,67.4,32.6,58.3,8.1,26.1,18.9,15.6,18.1,50.2,23.4,76.6,47.3,52.7,28.9,71.1,30.9,30.5,26.5,27.1,33.4,34.9,13.0,26.9,23.7,54.2,36.3,19.1,10.6,11.6,32.1,30.8,0.5,1.0,1.9,0.5,0.7,1.2,38.5,61.5,0.15,2.3,1.8,4.1,6.1,9.3,65.0,0.7,1.9,35.4,0.6,1.9,33.6,2.2,6.3,35.1
GiannisAntetokounmpo|2022,GiannisAntetokounmpo,MIL,27,67,29.9,10.3,18.6,55.3,1.1,3.6,29.3,8.3,11.4,72.2,2.0,9.6,11.6,5.8,3.3,1.1,1.4,3.2,46,4,210.82,242,PF,115.9,107.9,8.0,30.4,1.77,17.8,6.0,26.7,16.8,10.0,58.2,63.3,34.0,103.12,21.0,4743,4.0,3.2,4.3,15.9,10.3,8.1,6.6,28.3,0.9,8.8,80.6,19.4,61.7,8.5,10.6,14.4,27.7,13.2,53.2,43.2,56.8,42.3,57.7,43.1,56.9,35.0,30.8,11.0,13.9,59.9,63.1,31.8,36.6,35.7,33.0,36.3,20.2,46.7,24.7,58.1,36.4,2.2,5.3,1.7,0.6,0.4,1.0,60.9,39.1,0.01,5.7,3.4,9.1,7.4,10.6,69.6,1.2,2.9,42.3,0.6,1.5,42.6,1.1,3.6,29.6
GiannisAntetokounmpo|2021,GiannisAntetokounmpo,MIL,26,61,28.1,10.3,18.0,56.9,1.1,3.6,30.3,6.5,9.5,68.5,1.6,9.4,11.0,5.9,3.4,1.2,1.2,2.8,41,7,210.82,242,PF,117.1,107.3,9.8,28.2,1.72,18.7,4.8,26.4,16.0,10.8,60.0,63.3,32.0,104.17,19.6,4359,4.1,2.2,4.7,16.7,10.7,8.1,7.0,29.1,0.9,7.7,79.9,20.1,65.1,5.9,11.7,16.6,23.2,14.7,59.2,42.8,57.2,29.9,70.1,41.4,58.6,33.1,29.0,11.5,14.3,54.0,58.2,24.3,35.7,33.4,32.7,35.9,21.8,34.6,23.9,55.1,33.6,2.8,6.5,2.0,0.6,0.5,1.1,55.1,44.9,0.03,4.8,3.9,8.6,7.9,10.8,72.8,0.9,2.5,36.8,0.4,1.1,33.3,1.1,3.7,30.3
GiannisAntetokounmpo|2020,GiannisAntetokounmpo,MIL,25,63,29.5,10.9,19.7,55.3,1.4,4.7,30.4,6.3,10.0,63.3,2.2,11.4,13.6,5.6,3.7,1.0,1.0,3.1,56,4,210.82,242,PF,112.8,97.4,15.4,32.8,1.54,17.0,6.8,30.7,19.6,11.0,58.9,61.3,36.3,107.47,23.9,4301,4.7,3.4,6.0,17.5,9.2,6.6,7.7,22.9,1.1,8.2,76.3,23.7,64.2,4.8,14.4,20.5,21.4,16.0,59.3,43.8,56.2,55.1,44.9,45.3,54.7,38.8,34.0,16.2,18.7,51.3,57.7,36.9,40.9,40.2,33.9,39.9,20.7,25.0,25.1,54.1,38.3,2.4,5.5,2.1,1.0,0.5,1.5,67.0,33.0,0.03,5.6,3.8,9.3,8.2,11.8,69.5,0.9,2.3,39.2,0.4,1.0,40.0,1.4,4.7,30.4
KevinDurant|2022,KevinDurant,BKN,33,55,29.9,10.5,20.3,51.8,2.1,5.5,38.3,6.8,7.4,91.0,0.5,6.9,7.4,6.4,3.5,0.9,0.9,2.1,18,4,208.28,240,PF,116.2,109.7,6.5,27.4,1.84,19.1,1.5,16.6,9.7,10.4,57.0,63.4,31.0,101.17,18.0,4311,3.6,2.1,3.5,8.6,14.0,10.7,11.1,35.1,0.7,5.9,73.1,26.9,56.4,27.5,21.0,11.7,22.6,12.1,28.8,49.9,50.1,55.7,44.3,51.0,49.0,31.1,30.2,23.6,23.2,46.3,42.1,8.0,24.9,21.7,29.7,31.3,15.5,22.0,13.6,38.2,32.8,0.3,0.7,1.6,0.5,0.3,0.8,58.7,41.3,0.02,4.1,4.0,8.1,2.4,3.8,63.0,4.1,7.7,53.3,1.9,3.3,57.8,2.1,5.5,38.3
