,PLAYER,TEAM,AGE,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,HEIGHT,WEIGHT,POSITION
JoelEmbiid|2022,JoelEmbiid,PHI,28,68,30.6,9.8,19.6,49.9,1.4,3.7,37.1,9.6,11.8,81.4,2.1,9.6,11.7,4.2,3.1,1.1,1.5,2.7,46,2,213.36,280,C
JoelEmbiid|2021,JoelEmbiid,PHI,27,51,28.5,9.0,17.6,51.3,1.1,3.0,37.7,9.2,10.7,85.9,2.2,8.4,10.6,2.8,3.1,1.0,1.4,2.4,31,0,213.36,280,C
JoelEmbiid|2020,JoelEmbiid,PHI,26,51,23.0,7.5,15.7,47.7,1.1,3.4,33.1,6.9,8.5,80.7,2.8,8.9,11.6,3.0,3.1,0.9,1.3,3.4,37,0,213.36,280,C
LeBronJames|2022,LeBronJames,LAL,37,56,30.3,11.4,21.8,52.4,2.9,8.0,35.9,4.5,6.0,75.6,1.1,7.1,8.2,6.2,3.5,1.3,1.1,2.2,21,6,205.74,250,SF
LeBronJames|2021,LeBronJames,LAL,36,45,25.0,9.4,18.3,51.3,2.3,6.3,36.5,4.0,5.7,69.8,0.6,7.0,7.7,7.8,3.7,1.1,0.6,1.6,18,5,205.74,250,SF
LeBronJames|2020,LeBronJames,LAL,35,67,25.3,9.6,19.4,49.3,2.2,6.3,34.8,3.9,5.7,69.3,1.0,6.9,7.8,10.2,3.9,1.2,0.5,1.8,46,13,205.74,250,SF
GiannisAntetokounmpo|2022,GiannisAntetokounmpo,MIL,27,67,29.9,10.3,18.6,55.3,1.1,3.6,29.3,8.3,11.4,72.2,2.0,9.6,11.6,5.8,3.3,1.1,1.4,3.2,46,4,210.82,242,PF
GiannisAntetokounmpo|2021,GiannisAntetokounmpo,MIL,26,61,28.1,10.3,18.0,56.9,1.1,3.6,30.3,6.5,9.5,68.5,1.6,9.4,11.0,5.9,3.4,1.2,1.2,2.8,41,7,210.82,242,PF
GiannisAntetokounmpo|2020,GiannisAntetokounmpo,MIL,25,63,29.5,10.9,19.7,55.3,1.4,4.7,30.4,6.3,10.0,63.3,2.2,11.4,13.6,5.6,3.7,1.0,1.0,3.1,56,4,210.82,242,PF
KevinDurant|2022,KevinDurant,BKN,33,55,29.9,10.5,20.3,51.8,2.1,5.5,38.3,6.8,7.4,91.0,0.5,6.9,7.4,6.4,3.5,0.9,0.9,2.1,18,4,208.28,240,PF
KevinDurant|2021,KevinDurant,BKN,32,35,26.9,9.3,17.2,53.7,2.4,5.4,45.0,6.0,6.8,88.2,0.4,6.7,7.1,5.6,3.4,0.7,1.3,2.0,12,0,208.28,240,PF
LukaDoncic|2022,LukaDoncic,DAL,23,65,28.4,9.9,21.6,45.7,3.1,8.8,35.3,5.6,7.5,74.4,0.9,8.3,9.1,8.7,4.5,1.2,0.6,2.2,44,10,200.66,230,PG
LukaDoncic|2021,LukaDoncic,DAL,22,66,27.7,9.8,20.5,47.9,2.9,8.3,35.0,5.2,7.1,73.0,0.8,7.2,8.0,8.6,4.3,1.0,0.5,2.3,26,11,200.66,230,PG
LukaDoncic|2020,LukaDoncic,DAL,21,61,28.8,9.5,20.6,46.3,2.8,8.9,31.6,7.0,9.2,75.8,1.3,8.1,9.4,8.8,4.3,1.0,0.2,2.5,39,17,200.66,230,PG
TraeYoung|2022,TraeYoung,ATL,23,76,28.4,9.4,20.3,46.0,3.1,8.0,38.2,6.6,7.3,90.4,0.7,3.1,3.7,9.7,4.0,0.9,0.1,1.7,42,0,185.42,164,PG
TraeYoung|2021,TraeYoung,ATL,22,63,25.3,7.7,17.7,43.8,2.2,6.3,34.3,7.7,8.7,88.6,0.6,3.3,3.9,9.4,4.1,0.8,0.2,1.8,28,0,185.42,164,PG
TraeYoung|2020,TraeYoung,ATL,21,60,29.6,9.1,20.8,43.7,3.4,9.5,36.1,8.0,9.3,86.0,0.5,3.7,4.3,9.3,4.8,1.1,0.1,1.7,28,2,185.42,164,PG
DeMarDeRozan|2022,DeMarDeRozan,CHI,32,76,27.9,10.2,20.2,50.4,0.7,1.9,35.2,6.8,7.8,87.7,0.7,4.4,5.2,4.9,2.4,0.9,0.3,2.3,6,0,198.12,220,PF
DeMarDeRozan|2021,DeMarDeRozan,SAS,31,61,21.6,7.5,15.1,49.5,0.3,1.2,25.7,6.3,7.2,88.0,0.7,3.6,4.2,6.9,2.0,0.9,0.2,2.1,13,0,198.12,220,PF
DeMarDeRozan|2020,DeMarDeRozan,SAS,30,68,22.1,8.2,15.4,53.1,0.1,0.5,25.7,5.6,6.6,84.5,0.6,4.9,5.5,5.6,2.4,1.0,0.3,2.6,7,0,198.12,220,PF
JaMorant|2022,JaMorant,MEM,22,57,27.4,10.2,20.6,49.3,1.5,4.5,34.4,5.5,7.3,76.1,1.4,4.4,5.7,6.7,3.4,1.2,0.4,1.5,10,1,190.5,174,PG
JaMorant|2021,JaMorant,MEM,21,63,19.1,6.8,15.2,44.9,1.2,3.8,30.3,4.3,5.9,72.8,0.9,3.1,4.0,7.4,3.2,0.9,0.2,1.4,14,1,190.5,174,PG
JaMorant|2020,JaMorant,MEM,20,67,17.8,6.7,14.0,47.7,0.9,2.7,33.5,3.6,4.6,77.6,0.8,3.1,3.9,7.3,3.3,0.9,0.3,1.6,15,2,190.5,174,PG
NikolaJokic|2022,NikolaJokic,DEN,27,74,27.1,10.3,17.7,58.3,1.3,3.9,33.7,5.1,6.3,81.0,2.8,11.0,13.8,7.9,3.8,1.5,0.9,2.6,66,19,210.82,284,C
NikolaJokic|2021,NikolaJokic,DEN,26,72,26.4,10.2,18.0,56.6,1.3,3.3,38.8,4.8,5.5,86.8,2.8,8.0,10.8,8.3,3.1,1.3,0.7,2.7,60,16,210.82,284,C
NikolaJokic|2020,NikolaJokic,DEN,25,73,19.9,7.7,14.7,52.8,1.1,3.5,31.4,3.4,4.1,81.7,2.3,7.5,9.7,7.0,3.1,1.2,0.6,3.0,43,13,210.82,284,C
JaysonTatum|2022,JaysonTatum,BOS,24,76,26.9,9.3,20.6,45.3,3.0,8.6,35.3,5.3,6.2,85.3,1.1,6.9,8.0,4.4,2.9,1.0,0.6,2.3,22,0,203.2,210,SF
JaysonTatum|2021,JaysonTatum,BOS,23,64,26.4,9.5,20.6,45.9,2.9,7.6,38.6,4.6,5.3,86.8,0.8,6.6,7.4,4.3,2.7,1.2,0.5,1.9,15,1,203.2,210,SF
JaysonTatum|2020,JaysonTatum,BOS,22,66,23.4,8.4,18.6,45.0,2.9,7.1,40.3,3.8,4.7,81.2,1.0,6.0,7.0,3.0,2.3,1.4,0.9,2.1,10,0,203.2,210,SF
